Influenza Virological Surveillance -> Guest user -> Number of influenza viruses detected -> A(H1N1)pdm09
"(Periodicity: Week, Applied Time Period: from 1/2009 to 53/2010)"
,2009 week: 1,2009 week: 2,2009 week: 3,2009 week: 4,2009 week: 5,2009 week: 6,2009 week: 7,2009 week: 8,2009 week: 9,2009 week: 10,2009 week: 11,2009 week: 12,2009 week: 13,2009 week: 14,2009 week: 15,2009 week: 16,2009 week: 17,2009 week: 18,2009 week: 19,2009 week: 20,2009 week: 21,2009 week: 22,2009 week: 23,2009 week: 24,2009 week: 25,2009 week: 26,2009 week: 27,2009 week: 28,2009 week: 29,2009 week: 30,2009 week: 31,2009 week: 32,2009 week: 33,2009 week: 34,2009 week: 35,2009 week: 36,2009 week: 37,2009 week: 38,2009 week: 39,2009 week: 40,2009 week: 41,2009 week: 42,2009 week: 43,2009 week: 44,2009 week: 45,2009 week: 46,2009 week: 47,2009 week: 48,2009 week: 49,2009 week: 50,2009 week: 51,2009 week: 52,2009 week: 53,2010 week: 1,2010 week: 2,2010 week: 3,2010 week: 4,2010 week: 5,2010 week: 6,2010 week: 7,2010 week: 8,2010 week: 9,2010 week: 10,2010 week: 11,2010 week: 12,2010 week: 13,2010 week: 14,2010 week: 15,2010 week: 16,2010 week: 17,2010 week: 18,2010 week: 19,2010 week: 20,2010 week: 21,2010 week: 22,2010 week: 23,2010 week: 24,2010 week: 25,2010 week: 26,2010 week: 27,2010 week: 28,2010 week: 29,2010 week: 30,2010 week: 31,2010 week: 32,2010 week: 33,2010 week: 34,2010 week: 35,2010 week: 36,2010 week: 37,2010 week: 38,2010 week: 39,2010 week: 40,2010 week: 41,2010 week: 42,2010 week: 43,2010 week: 44,2010 week: 45,2010 week: 46,2010 week: 47,2010 week: 48,2010 week: 49,2010 week: 50,2010 week: 51,2010 week: 52
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,4,5,10,11,15,23,52,36,11,65,13,13,5,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,7,29
Panama,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",23,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,21,30,107,149,122,75,46,32,26,12,9,15,12,3,1,0,1,3,0,0,0,1,4,6,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,4,2,5,9,3,3,4,4,13,10,9,3,10,13,11,10,13,6,2,1,1,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",31,37,39,24,16,15,20,9,7,7,4,7,4,5,3,3,0,4,6,10,12,6,29,47,55,43,42,26,23,14,13,4,8,8,5,2,8,6,4,1,0,2,1,1,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,40,306,642,"1,198","1,378",789,662,629,295,317,120,85,42,9,12,5,2,2,0,0,3,"=T("" "")",2,1,4,1,1,0,0,0,"=T("" "")","=T("" "")",2,4,1,2,10,8,15,6,0,8,2,4,6,5,2,3,1,0,3,11,5,7,4,12,17,30,32,53,31,54,34,32,23,36,15,2,7,2,2,0,0,0,0,0,1,0,0,0,0,0,0,"=T("" "")"
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,6,2,10,8,3,35,27,34,16,4,3,3,5,0,1,0,3,0,4,4,46,46,226,306,201,174,191,78,52,59,22,7,5,7,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Portugal,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",489,370,259,135,119,83,"=T("" "")",47,"=T("" "")","=T("" "")","=T("" "")","=T("" "")",13,10,"=T("" "")",80,64,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,88,92,256,262,258,144,8,4,9,7,10,16,19,36,37,56,183,488,566,353,363,365,482,362,257,173,180,"=T("" "")",158,121,80,89,67,65,30,31,17,17,22,8,9,8,20,19,8,11,8,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,5,10,39,66,129,274,397
Republic of Moldova,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",2,0,"=T("" "")",1,0,0,1,"=T("" "")",355,560,500,420,"=T("" "")",180,"=T("" "")","=T("" "")",40,"=T("" "")","=T("" "")","=T("" "")",10,16,8,10,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,18,"=T("" "")",13,54,71,35,37,27,19,10,4,7,6,4,8,24,6,117,287,452,434,918,511,666,504,224,218,386,371,192,55,27,15,9,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,25,20,23,18,42,60,16,21,28,76,119,292,465,995,"2,157","2,128","2,375","2,403","2,157","2,191","1,663",912,393,151,207,185,94,101,81,49,41,18,21,19,27,17,11,6,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,2,6,6,0,10,44,26
Rwanda,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",11,4,2,1,3,3,9,13,44,23,26,20,9,4,1,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")"
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,5,16,102,81,97,20,9,10,24,0,14,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,9,8,10,3,0,0,1,0,0,0,0
Serbia,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,10,10,11,28,60,7,4,3,4,1,2,0,1,0,0,1,1,0,0,27,90,37,43,30,40,65,46,71,58,34,19,6,5,1,3,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,3,49,132,233,403,547,602,639,650,409,371,289,243,188,0,0,0,2,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",87,165,81,80,57,43,9,11,12,12,12,25,28,59,59,94,100,197,149,91,99,70,69,31,20,21,21,19,8,14,6,8,11,7,13,3,7,7,9,11,15,4,4,6,7,3,4,10,7,9,8,21
Slovakia,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,2,3,0,1,7,7,10,9,11,0,10,6,8,8,7,1,2,2,4,0,0,8,23,56,98,80,124,81,67,43,22,20,7,6,3,3,0,1,0,0,0,6,0,1,5,4,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,1,0,3,1,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,8,46,39,30,41,21,9,7,18,9,6,6,7,1,3,12,19,52,168,184,165,131,81,27,21,7,6,5,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,19,69,49,69,136,187,134,185,147,80,63,37,8,6,1,3,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,6,9,18,21,28,38,21,30,23,12,17,10,3,10,1,1,3,2,7,0,2,0,3,1
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",109,186,265,347,323,578,"1,071","1,124","1,237","1,246",799,457,202,194,108,63,32,22,5,5,2,2,0,1,1,5,4,3,2,0,0,6,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,4,5,5,14,17,57,173,371
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,14,7,12,8,5,6,7,7,5,"=T("" "")","=T("" "")",3,2,1,28,39,14,"=T("" "")","=T("" "")","=T("" "")","=T("" "")",77,37,43,50,36,33,5,5,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,10,18,11,35,30,54,49,66,91,61,59
Sudan,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",2,0,1,1,0,0,0,0,0,0,0,"=T("" "")","=T("" "")",1,0,8,7,23,14,5,3,2,3,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")",21,14,38,68,185,106,92,71,72,110,182,211,148,113,69,68,120,227,437,780,"1,302","2,472","2,487","1,348",436,165,70,18,12,4,7,5,2,3,5,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,13,24,67
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,6,11,6,22,61,53,56,104,136,144,25,10,7,2,2,2,3,4,5,6,28,55,142,248,180,99,69,68,39,14,25,7,3,6,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,8,4,47,80
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,2,8,21,6,72,40,20,7,30,29,17,19,24,9,28,26,17,26,12,8,4,4,5,8,5,7,13,10,4,5,37,47,48,58,72,72,64,33,32,33,16,9,6,1,1,0,2,4,5,1,0,3,4,3,9,2,17,16,14,28,27,43,65,79,70,64,63,67,18,29,24,35,9,1,0,2,0,0,1,2,"=T("" "")"
The former Yugoslav Republic of Macedonia,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")","=T("" "")","=T("" "")",0,0,0,0,1,2,1,9,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")"
Togo,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,0,2,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",2,1,2,2,7,"=T("" "")",3,13,10,8,5,3,0,"=T("" "")","=T("" "")",20,6,1,0,38,50,158,237,174,100,169,130,189,73,66,20,17,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,2
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,10,5,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",2,3,81,526,846,841,996,"1,232",863,705,734,353,151,62,40,21,7,3,3,3,1,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Uganda,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,2,1,6,11,19,16,5,49,35,34,4,6,13,1,0,0,0,0,"=T("" "")","=T("" "")",1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,0,0,3,1,2,3,2,0,2,13,"=T("" "")"
Ukraine,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,105,52,150,64,45,84,71,51,41,22,18,85,17,24,98,163,34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,20,29,24,57,110,143,94,66,71,37,26,16,51,26,22,53,68,70,104,163,240,286,343,276,216,190,149,87,24,65,4,3,27,18,26,10,17,14,6,4,2,6,9,0,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,0,12,14,7,8,22,45,94,272,742,653
United Republic of Tanzania,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",23,26,11,30,51,91,145,83,33,13,4,15,78,11,14,32,"=T("" "")",0,0,3,7,4,3,0,5,8,2,10,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,"1,493","2,518","1,785","2,673","2,840","3,646","3,922","4,395","3,166","2,389","2,590","2,087","1,856","1,879","1,298","1,265","1,600","1,383","1,884","2,294","2,617","2,858","3,847","6,121","8,627","9,735","7,738","6,081","4,629","2,715","1,408",997,610,480,251,285,266,261,317,268,290,238,260,316,338,359,259,178,167,96,56,17,16,20,6,7,0,3,1,1,3,1,0,1,2,1,4,7,5,10,7,9,5,0,2,7,13,8,13,12,15,23,11,34,46,83,98,190
Uruguay,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,"=T("" "")",0,"=T("" "")",0,0,"=T("" "")","=T("" "")",0,0,"=T("" "")",0,0,"=T("" "")","=T("" "")",15,"=T("" "")","=T("" "")",51,140,116,47,27,15,21,8,5,2,0,0,1,0,0,0,"=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")","=T("" "")",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,9,17,24,27,11,38,75,82,54,68,37,41,39,30,26,27,24,15,12,10,4,6,"=T("" "")",3,7,2,5,4,2,"=T("" "")",7,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,1,0,0,3,1,4,2,2,1,3,1,0,1,1,4,5,4,8,6
