T_Y,Y_M,Country,Cases
102,2013-9,澳門(Macao),47569
102,2013-10,澳門(Macao),48345
102,2013-11,澳門(Macao),44472
102,2013-12,澳門(Macao),44165
103,2014-1,澳門(Macao),38222
103,2014-2,澳門(Macao),43567
103,2014-3,澳門(Macao),38472
103,2014-4,澳門(Macao),39267
103,2014-5,澳門(Macao),39347
103,2014-6,澳門(Macao),44996
103,2014-7,澳門(Macao),47045
103,2014-8,澳門(Macao),44455
103,2014-9,澳門(Macao),40351
103,2014-10,澳門(Macao),42147
103,2014-11,澳門(Macao),34723
103,2014-12,澳門(Macao),40596
104,2015-1,澳門(Macao),39164
104,2015-2,澳門(Macao),38721
104,2015-3,澳門(Macao),40273
104,2015-4,澳門(Macao),44404
104,2015-5,澳門(Macao),41120
104,2015-6,澳門(Macao),43137
104,2015-7,澳門(Macao),48597
104,2015-8,澳門(Macao),46988
104,2015-9,澳門(Macao),43456
104,2015-10,澳門(Macao),47602
104,2015-11,澳門(Macao),46936
104,2015-12,澳門(Macao),46746
105,2016-1,澳門(Macao),46638
105,2016-2,澳門(Macao),52543
105,2016-3,澳門(Macao),42649
105,2016-4,澳門(Macao),51557
105,2016-5,澳門(Macao),45974
105,2016-6,澳門(Macao),54522
105,2016-7,澳門(Macao),55577
105,2016-8,澳門(Macao),51251
105,2016-9,澳門(Macao),50411
105,2016-10,澳門(Macao),48577
105,2016-11,澳門(Macao),46799
105,2016-12,澳門(Macao),52352
106,2017-1,澳門(Macao),43339
106,2017-2,澳門(Macao),51969
106,2017-3,澳門(Macao),45014
106,2017-4,澳門(Macao),48988
106,2017-5,澳門(Macao),49950
106,2017-6,澳門(Macao),49553
106,2017-7,澳門(Macao),56969
106,2017-8,澳門(Macao),50971
106,2017-9,澳門(Macao),48531
106,2017-10,澳門(Macao),48013
97,2008-1,日本(Japan),104753
97,2008-2,日本(Japan),110058
97,2008-3,日本(Japan),92266
97,2008-4,日本(Japan),129430
97,2008-5,日本(Japan),124440
97,2008-6,日本(Japan),119692
97,2008-7,日本(Japan),143940
97,2008-8,日本(Japan),110875
97,2008-9,日本(Japan),93112
97,2008-10,日本(Japan),117002
97,2008-11,日本(Japan),91480
97,2008-12,日本(Japan),72799
98,2009-1,日本(Japan),105882
98,2009-2,日本(Japan),64257
98,2009-3,日本(Japan),80235
98,2009-4,日本(Japan),96453
98,2009-5,日本(Japan),80382
98,2009-6,日本(Japan),75108
98,2009-7,日本(Japan),129299
98,2009-8,日本(Japan),130359
98,2009-9,日本(Japan),87727
98,2009-10,日本(Japan),101227
98,2009-11,日本(Japan),85265
98,2009-12,日本(Japan),77663
