Y_M,Country,Cases,YMD
2009-8,Kazakhstan,0,2009-08-01
2009-8,Kyrgyzstan,4,2009-08-01
2009-8,Lao People's Democratic Republic,0,2009-08-01
2009-8,Malaysia,241,2009-08-01
2009-8,Mongolia,0,2009-08-01
2009-8,Nepal,0,2009-08-01
2009-8,Oman,0,2009-08-01
2009-8,Pakistan,1,2009-08-01
2009-8,Philippines,573,2009-08-01
2009-8,Qatar,0,2009-08-01
2009-8,Republic of Korea,172,2009-08-01
2009-8,Singapore,2358,2009-08-01
2009-8,Sri Lanka,33,2009-08-01
2009-8,Syrian Arab Republic,0,2009-08-01
2009-8,Thailand,103,2009-08-01
2009-8,Turkey,0,2009-08-01
2009-8,Viet Nam,88,2009-08-01
2009-9,Afghanistan,0,2009-09-01
2009-9,Armenia,0,2009-09-01
2009-9,Azerbaijan,0,2009-09-01
2009-9,Bahrain,0,2009-09-01
2009-9,Bangladesh,0,2009-09-01
2009-9,Bhutan,0,2009-09-01
2009-9,Cambodia,85,2009-09-01
2009-9,China,0,2009-09-01
2009-9,Georgia,6,2009-09-01
2009-9,India,876,2009-09-01
2009-9,Indonesia,0,2009-09-01
2009-9,Iran (Islamic Republic of),96,2009-09-01
2009-9,Iraq,0,2009-09-01
2009-9,Israel,704,2009-09-01
2009-9,Japan,2306,2009-09-01
2009-9,Jordan,0,2009-09-01
2009-9,Kazakhstan,0,2009-09-01
2009-9,Kyrgyzstan,2,2009-09-01
2009-9,Lao People's Democratic Republic,0,2009-09-01
2009-9,Malaysia,26,2009-09-01
2009-9,Mongolia,0,2009-09-01
2009-9,Nepal,0,2009-09-01
2009-9,Oman,0,2009-09-01
2009-9,Pakistan,2,2009-09-01
2009-9,Philippines,21,2009-09-01
2009-9,Qatar,0,2009-09-01
2009-9,Republic of Korea,81,2009-09-01
2009-9,Singapore,431,2009-09-01
2009-9,Sri Lanka,8,2009-09-01
2009-9,Syrian Arab Republic,0,2009-09-01
2009-9,Thailand,80,2009-09-01
2009-9,Turkey,0,2009-09-01
2009-9,Viet Nam,249,2009-09-01
2010-1,Afghanistan,5,2010-01-01
2010-1,Armenia,0,2010-01-01
2010-1,Azerbaijan,0,2010-01-01
2010-1,Bahrain,0,2010-01-01
2010-1,Bangladesh,0,2010-01-01
2010-1,Bhutan,0,2010-01-01
2010-1,Cambodia,12,2010-01-01
2010-1,China,2024,2010-01-01
2010-1,Georgia,112,2010-01-01
2010-1,India,468,2010-01-01
2010-1,Indonesia,1,2010-01-01
2010-1,Iran (Islamic Republic of),52,2010-01-01
2010-1,Iraq,4,2010-01-01
2010-1,Israel,107,2010-01-01
2010-1,Japan,1930,2010-01-01
2010-1,Jordan,0,2010-01-01
2010-1,Kazakhstan,0,2010-01-01
2010-1,Kyrgyzstan,0,2010-01-01
2010-1,Lao People's Democratic Republic,0,2010-01-01
2010-1,Malaysia,5,2010-01-01
2010-1,Mongolia,82,2010-01-01
2010-1,Nepal,0,2010-01-01
2010-1,Oman,88,2010-01-01
2010-1,Pakistan,96,2010-01-01
2010-1,Philippines,9,2010-01-01
2010-1,Qatar,0,2010-01-01
2010-1,Republic of Korea,448,2010-01-01
2010-1,Singapore,413,2010-01-01
2010-1,Sri Lanka,47,2010-01-01
2010-1,Syrian Arab Republic,0,2010-01-01
2010-1,Thailand,137,2010-01-01
2010-1,Turkey,71,2010-01-01
2010-1,Viet Nam,17,2010-01-01
2010-10,Afghanistan,0,2010-10-01
2010-10,Armenia,0,2010-10-01
2010-10,Azerbaijan,0,2010-10-01
2010-10,Bahrain,0,2010-10-01
2010-10,Bangladesh,4,2010-10-01
2010-10,Bhutan,0,2010-10-01
2010-10,Cambodia,88,2010-10-01
2010-10,China,102,2010-10-01
2010-10,Georgia,0,2010-10-01
2010-10,India,33,2010-10-01
2010-10,Indonesia,11,2010-10-01
2010-10,Iran (Islamic Republic of),1,2010-10-01
2010-10,Iraq,0,2010-10-01
2010-10,Israel,1,2010-10-01
2010-10,Japan,51,2010-10-01
2010-10,Jordan,0,2010-10-01
2010-10,Kazakhstan,0,2010-10-01
2010-10,Kyrgyzstan,0,2010-10-01
2010-10,Lao People's Democratic Republic,0,2010-10-01
2010-10,Malaysia,1,2010-10-01
2010-10,Mongolia,0,2010-10-01
2010-10,Nepal,0,2010-10-01
2010-10,Oman,29,2010-10-01
2010-10,Pakistan,0,2010-10-01
