Y_M,Country,Cases,YMD
2009-11,Portugal,859,2009-11-01
2009-11,Republic of Korea,2129,2009-11-01
2009-11,Republic of Moldova,1835,2009-11-01
2009-11,Romania,2208,2009-11-01
2009-11,Russian Federation,995,2009-11-01
2009-11,Rwanda,0,2009-11-01
2009-11,Senegal,0,2009-11-01
2009-11,Serbia,227,2009-11-01
2009-11,Sierra Leone,0,2009-11-01
2009-11,Singapore,0,2009-11-01
2009-11,Slovakia,381,2009-11-01
2009-11,Slovenia,588,2009-11-01
2009-11,South Africa,4,2009-11-01
2009-11,Spain,799,2009-11-01
2009-11,Sri Lanka,14,2009-11-01
2009-11,Sudan,57,2009-11-01
2009-11,Suriname,0,2009-11-01
2009-11,Sweden,780,2009-11-01
2009-11,Switzerland,653,2009-11-01
2009-11,Thailand,29,2009-11-01
2009-11,The former Yugoslav Republic of Macedonia,0,2009-11-01
2009-11,Togo,0,2009-11-01
2009-11,Tunisia,657,2009-11-01
2009-11,Turkey,3546,2009-11-01
2009-11,Uganda,24,2009-11-01
2009-11,Ukraine,373,2009-11-01
2009-11,United Kingdom of Great Britain and Northern Ireland,1174,2009-11-01
2009-11,United Republic of Tanzania,148,2009-11-01
2009-11,United States of America,0,2009-11-01
2009-11,Uruguay,0,2009-11-01
2009-11,Viet Nam,122,2009-11-01
2009-11,Zambia,0,2009-11-01
2009-12,Afghanistan,9,2009-12-01
2009-12,Albania,0,2009-12-01
2009-12,Algeria,212,2009-12-01
2009-12,Angola,0,2009-12-01
2009-12,Argentina,14,2009-12-01
2009-12,Armenia,0,2009-12-01
2009-12,Australia,13,2009-12-01
2009-12,Austria,0,2009-12-01
2009-12,Azerbaijan,0,2009-12-01
2009-12,Bangladesh,0,2009-12-01
2009-12,Belarus,0,2009-12-01
2009-12,Belgium,97,2009-12-01
2009-12,Bolivia,0,2009-12-01
2009-12,Bosnia and Herzegovina,0,2009-12-01
2009-12,Brazil,41,2009-12-01
2009-12,Bulgaria,47,2009-12-01
2009-12,Burkina Faso,0,2009-12-01
2009-12,C�te d'Ivoire,0,2009-12-01
