T_Y,Y_M,Ch_Country,Country,Cases,YMD
97,2008-8,澳門,Macao,73604,2008-08-01
97,2008-9,澳門,Macao,65419,2008-09-01
97,2008-10,澳門,Macao,75957,2008-10-01
97,2008-11,澳門,Macao,61787,2008-11-01
97,2008-12,澳門,Macao,59568,2008-12-01
98,2009-1,澳門,Macao,53111,2009-01-01
98,2009-2,澳門,Macao,64553,2009-02-01
98,2009-3,澳門,Macao,69527,2009-03-01
98,2009-4,澳門,Macao,70257,2009-04-01
98,2009-5,澳門,Macao,55422,2009-05-01
98,2009-6,澳門,Macao,52098,2009-06-01
98,2009-7,澳門,Macao,68932,2009-07-01
98,2009-8,澳門,Macao,70430,2009-08-01
98,2009-9,澳門,Macao,51663,2009-09-01
98,2009-10,澳門,Macao,62155,2009-10-01
98,2009-11,澳門,Macao,61226,2009-11-01
98,2009-12,澳門,Macao,59889,2009-12-01
99,2010-1,澳門,Macao,58339,2010-01-01
99,2010-2,澳門,Macao,56416,2010-02-01
99,2010-3,澳門,Macao,60801,2010-03-01
99,2010-4,澳門,Macao,59552,2010-04-01
99,2010-5,澳門,Macao,55260,2010-05-01
99,2010-6,澳門,Macao,57289,2010-06-01
99,2010-7,澳門,Macao,61573,2010-07-01
99,2010-8,澳門,Macao,56882,2010-08-01
99,2010-9,澳門,Macao,51637,2010-09-01
99,2010-10,澳門,Macao,51773,2010-10-01
99,2010-11,澳門,Macao,47571,2010-11-01
99,2010-12,澳門,Macao,50817,2010-12-01
100,2011-1,澳門,Macao,39451,2011-01-01
100,2011-2,澳門,Macao,48772,2011-02-01
100,2011-3,澳門,Macao,45740,2011-03-01
100,2011-4,澳門,Macao,53402,2011-04-01
100,2011-5,澳門,Macao,50145,2011-05-01
100,2011-6,澳門,Macao,55290,2011-06-01
100,2011-7,澳門,Macao,59605,2011-07-01
100,2011-8,澳門,Macao,55567,2011-08-01
100,2011-9,澳門,Macao,48903,2011-09-01
100,2011-10,澳門,Macao,47524,2011-10-01
100,2011-11,澳門,Macao,42806,2011-11-01
100,2011-12,澳門,Macao,40428,2011-12-01
101,2012-1,澳門,Macao,39986,2012-01-01
101,2012-2,澳門,Macao,40875,2012-02-01
101,2012-3,澳門,Macao,38428,2012-03-01
101,2012-4,澳門,Macao,41305,2012-04-01
101,2012-5,澳門,Macao,39191,2012-05-01
101,2012-6,澳門,Macao,43831,2012-06-01
101,2012-7,澳門,Macao,54450,2012-07-01
101,2012-8,澳門,Macao,52239,2012-08-01
101,2012-9,澳門,Macao,47937,2012-09-01
101,2012-10,澳門,Macao,45955,2012-10-01
101,2012-11,澳門,Macao,39890,2012-11-01
101,2012-12,澳門,Macao,42963,2012-12-01
102,2013-1,澳門,Macao,36624,2013-01-01
102,2013-2,澳門,Macao,45579,2013-02-01
102,2013-3,澳門,Macao,38616,2013-03-01
102,2013-4,澳門,Macao,40397,2013-04-01
102,2013-5,澳門,Macao,30785,2013-05-01
102,2013-6,澳門,Macao,39409,2013-06-01
102,2013-7,澳門,Macao,46145,2013-07-01
102,2013-8,澳門,Macao,52595,2013-08-01
102,2013-9,澳門,Macao,47569,2013-09-01
102,2013-10,澳門,Macao,48345,2013-10-01
102,2013-11,澳門,Macao,44472,2013-11-01
102,2013-12,澳門,Macao,44165,2013-12-01
103,2014-1,澳門,Macao,38222,2014-01-01
103,2014-2,澳門,Macao,43567,2014-02-01
103,2014-3,澳門,Macao,38472,2014-03-01
103,2014-4,澳門,Macao,39267,2014-04-01
103,2014-5,澳門,Macao,39347,2014-05-01
103,2014-6,澳門,Macao,44996,2014-06-01
103,2014-7,澳門,Macao,47045,2014-07-01
103,2014-8,澳門,Macao,44455,2014-08-01
103,2014-9,澳門,Macao,40351,2014-09-01
103,2014-10,澳門,Macao,42147,2014-10-01
103,2014-11,澳門,Macao,34723,2014-11-01
103,2014-12,澳門,Macao,40596,2014-12-01
104,2015-1,澳門,Macao,39164,2015-01-01
104,2015-2,澳門,Macao,38721,2015-02-01
104,2015-3,澳門,Macao,40273,2015-03-01
104,2015-4,澳門,Macao,44404,2015-04-01
104,2015-5,澳門,Macao,41120,2015-05-01
104,2015-6,澳門,Macao,43137,2015-06-01
104,2015-7,澳門,Macao,48597,2015-07-01
104,2015-8,澳門,Macao,46988,2015-08-01
104,2015-9,澳門,Macao,43456,2015-09-01
104,2015-10,澳門,Macao,47602,2015-10-01
104,2015-11,澳門,Macao,46936,2015-11-01
104,2015-12,澳門,Macao,46746,2015-12-01
105,2016-1,澳門,Macao,46638,2016-01-01
105,2016-2,澳門,Macao,52543,2016-02-01
105,2016-3,澳門,Macao,42649,2016-03-01
105,2016-4,澳門,Macao,51557,2016-04-01
105,2016-5,澳門,Macao,45974,2016-05-01
105,2016-6,澳門,Macao,54522,2016-06-01
105,2016-7,澳門,Macao,55577,2016-07-01
105,2016-8,澳門,Macao,51251,2016-08-01
105,2016-9,澳門,Macao,50411,2016-09-01
105,2016-10,澳門,Macao,48577,2016-10-01
105,2016-11,澳門,Macao,46799,2016-11-01
105,2016-12,澳門,Macao,52352,2016-12-01
106,2017-1,澳門,Macao,43339,2017-01-01
106,2017-2,澳門,Macao,51969,2017-02-01
106,2017-3,澳門,Macao,45014,2017-03-01
106,2017-4,澳門,Macao,48988,2017-04-01
106,2017-5,澳門,Macao,49950,2017-05-01
106,2017-6,澳門,Macao,49553,2017-06-01
106,2017-7,澳門,Macao,56969,2017-07-01
106,2017-8,澳門,Macao,50971,2017-08-01
106,2017-9,澳門,Macao,48531,2017-09-01
106,2017-10,澳門,Macao,48013,2017-10-01
97,2008-1,日本,Japan,104753,2008-01-01
97,2008-2,日本,Japan,110058,2008-02-01
97,2008-3,日本,Japan,92266,2008-03-01
97,2008-4,日本,Japan,129430,2008-04-01
97,2008-5,日本,Japan,124440,2008-05-01
97,2008-6,日本,Japan,119692,2008-06-01
97,2008-7,日本,Japan,143940,2008-07-01
97,2008-8,日本,Japan,110875,2008-08-01
97,2008-9,日本,Japan,93112,2008-09-01
97,2008-10,日本,Japan,117002,2008-10-01
97,2008-11,日本,Japan,91480,2008-11-01
97,2008-12,日本,Japan,72799,2008-12-01
98,2009-1,日本,Japan,105882,2009-01-01
98,2009-2,日本,Japan,64257,2009-02-01
98,2009-3,日本,Japan,80235,2009-03-01
98,2009-4,日本,Japan,96453,2009-04-01
98,2009-5,日本,Japan,80382,2009-05-01
98,2009-6,日本,Japan,75108,2009-06-01
98,2009-7,日本,Japan,129299,2009-07-01
98,2009-8,日本,Japan,130359,2009-08-01
98,2009-9,日本,Japan,87727,2009-09-01
98,2009-10,日本,Japan,101227,2009-10-01
98,2009-11,日本,Japan,85265,2009-11-01
98,2009-12,日本,Japan,77663,2009-12-01
99,2010-1,日本,Japan,92832,2010-01-01
99,2010-2,日本,Japan,107985,2010-02-01
99,2010-3,日本,Japan,91243,2010-03-01
99,2010-4,日本,Japan,112939,2010-04-01
99,2010-5,日本,Japan,124151,2010-05-01
99,2010-6,日本,Japan,126779,2010-06-01
99,2010-7,日本,Japan,165949,2010-07-01
99,2010-8,日本,Japan,132060,2010-08-01
99,2010-9,日本,Japan,117009,2010-09-01
99,2010-10,日本,Japan,120290,2010-10-01
99,2010-11,日本,Japan,97209,2010-11-01
99,2010-12,日本,Japan,89511,2010-12-01
100,2011-1,日本,Japan,109762,2011-01-01
100,2011-2,日本,Japan,98987,2011-02-01
100,2011-3,日本,Japan,47959,2011-03-01
100,2011-4,日本,Japan,47144,2011-04-01
100,2011-5,日本,Japan,82194,2011-05-01
100,2011-6,日本,Japan,102905,2011-06-01
100,2011-7,日本,Japan,137475,2011-07-01
100,2011-8,日本,Japan,118112,2011-08-01
100,2011-9,日本,Japan,100627,2011-09-01
100,2011-10,日本,Japan,118433,2011-10-01
100,2011-11,日本,Japan,90235,2011-11-01
100,2011-12,日本,Japan,82561,2011-12-01
101,2012-1,日本,Japan,133945,2012-01-01
101,2012-2,日本,Japan,90318,2012-02-01
101,2012-3,日本,Japan,94258,2012-03-01
101,2012-4,日本,Japan,143550,2012-04-01
101,2012-5,日本,Japan,132010,2012-05-01
101,2012-6,日本,Japan,137292,2012-06-01
101,2012-7,日本,Japan,166674,2012-07-01
101,2012-8,日本,Japan,141957,2012-08-01
101,2012-9,日本,Japan,124637,2012-09-01
101,2012-10,日本,Japan,142486,2012-10-01
101,2012-11,日本,Japan,132920,2012-11-01
101,2012-12,日本,Japan,120253,2012-12-01
102,2013-1,日本,Japan,128322,2013-01-01
102,2013-2,日本,Japan,166278,2013-02-01
102,2013-3,日本,Japan,157345,2013-03-01
102,2013-4,日本,Japan,203211,2013-04-01
102,2013-5,日本,Japan,207335,2013-05-01
102,2013-6,日本,Japan,246734,2013-06-01
102,2013-7,日本,Japan,254001,2013-07-01
102,2013-8,日本,Japan,213804,2013-08-01
102,2013-9,日本,Japan,217611,2013-09-01
102,2013-10,日本,Japan,217798,2013-10-01
102,2013-11,日本,Japan,180498,2013-11-01
102,2013-12,日本,Japan,153070,2013-12-01
103,2014-1,日本,Japan,210834,2014-01-01
103,2014-2,日本,Japan,201225,2014-02-01
103,2014-3,日本,Japan,219857,2014-03-01
